Number			Symbol			GS			Shift			Error			Pointer			Stack			End			
0			<F>			f 			0			1			10			0			0			
1			<R2>			+ * 			0			0			18			0			0			
2			<R2>			# ; 			0			1			20			0			0			
3			<I>			a 			0			1			21			0			0			
4			<G>			a 			0			1			22			0			0			
5			<F1>			+ 			0			0			26			0			0			
6			<F1>			* 			0			1			28			0			0			
7			<F0>			; 			0			0			30			0			0			
8			<F0>			# 			0			1			32			0			0			
9			<E>			a 			0			1			33			0			0			
10			f			f 			1			1			11			0			0			
11			<I>			a 			0			1			3			1			0			
12			(			( 			1			1			13			0			0			
13			<I>			a 			0			1			3			1			0			
14			)			) 			1			1			15			0			0			
15			<G>			a 			0			1			4			1			0			
16			#			# 			1			1			17			0			0			
17			$			$ 			1			1			null			0			1			
18			<F1>			+ * 			0			1			5			1			0			
19			<R2>			+ * # ; 			0			1			1			0			0			
20			e			# ; 			0			1			null			0			0			
21			a			a 			1			1			null			0			0			
22			<I>			a 			0			1			3			1			0			
23			:=			:= 			1			1			24			0			0			
24			<E>			a 			0			1			9			1			0			
25			<F0>			; # 			0			1			7			0			0			
26			+			+ 			1			1			27			0			0			
27			<I>			a 			0			1			3			0			0			
28			*			* 			1			1			29			0			0			
29			<I>			a 			0			1			3			0			0			
30			;			; 			1			1			31			0			0			
31			<G>			a 			0			1			4			0			0			
32			e			# 			0			1			null			0			0			
33			<I>			a 			0			1			3			1			0			
34			<R2>			+ * # ; 			0			1			1			0			0			
