Number			Symbol			GS			Shift			Error			Pointer			Stack			End			
0			<E>			- ( i 6 			0			1			10			0			0			
1			<T>			- ( i 6 			0			1			13			0			0			
2			<R1>			* 			0			0			15			0			0			
3			<R1>			$ + 			0			1			18			0			0			
4			<R0>			+ 			0			0			19			0			0			
5			<R0>			$ 			0			1			22			0			0			
6			<F>			- 			0			0			23			0			0			
7			<F>			( 			0			0			25			0			0			
8			<F>			i 			0			0			28			0			0			
9			<F>			6 			0			1			29			0			0			
10			<T>			- ( i 6 			0			1			1			1			0			
11			<R0>			+ $ 			0			1			4			1			0			
12			$			$ 			1			1			null			0			1			
13			<F>			- ( i 6 			0			1			6			1			0			
14			<R1>			* $ + 			0			1			2			0			0			
15			*			* 			1			1			16			0			0			
16			<F>			- ( i 6 			0			1			6			1			0			
17			<R1>			* $ + 			0			1			2			0			0			
18			e			$ + 			0			1			null			0			0			
19			+			+ 			1			1			20			0			0			
20			<T>			- ( i 6 			0			1			1			1			0			
21			<R0>			+ $ 			0			1			4			0			0			
22			e			$ 			0			1			null			0			0			
23			-			- 			1			1			24			0			0			
24			<F>			- ( i 6 			0			1			6			0			0			
25			(			( 			1			1			26			0			0			
26			<E>			- ( i 6 			0			1			0			1			0			
27			)			) 			1			1			null			0			0			
28			i			i 			1			1			null			0			0			
29			6			6 			1			1			null			0			0			
