Number			Symbol			GS			Shift			Error			Pointer			Stack			End			
0			<S>			a b ( 			0			1			9			0			0			
1			<F0>			a b ( 			0			0			11			0			0			
2			<F0>			) 			0			1			16			0			0			
3			<E>			a b 			0			0			17			0			0			
4			<E>			( 			0			1			18			0			0			
5			<B>			a 			0			0			20			0			0			
6			<B>			b 			0			1			21			0			0			
7			<A>			+ 			0			0			22			0			0			
8			<A>			) 			0			1			24			0			0			
9			<E>			a b ( 			0			1			3			1			0			
10			$			$ 			1			1			null			0			1			
11			<E>			a b ( 			0			1			3			1			0			
12			=			= 			1			1			13			0			0			
13			<E>			a b ( 			0			1			3			1			0			
14			<A>			+ ) 			0			1			7			1			0			
15			)			) 			1			1			null			0			0			
16			)			) 			1			1			null			0			0			
17			<B>			a b 			0			1			5			0			0			
18			(			( 			1			1			19			0			0			
19			<F0>			a b ( ) 			0			1			1			0			0			
20			a			a 			1			1			null			0			0			
21			b			b 			1			1			null			0			0			
22			+			+ 			1			1			23			0			0			
23			<E>			a b ( 			0			1			3			0			0			
24			e			) 			0			1			null			0			0			
