                          <Y0>                 <S>                 <A>                 <B>                   c                   b                   a                   $        

                  OK                  S(1)                   -                   -                   -                   -                  S(2)                   -        

                   -                   -                   -                   -                   -                   -                   -                  R(<Y0>2)        

                   -                   -                  S(3)                  S(4)                  S(5)                   -                  S(6)                   -        

                   -                   -                   -                  S(7)                   -                   -                  S(6)                   -        

                   -                   -                   -                   -                   -                   -                  S(8)                  R(<S>2)        

                   -                   -                  S(9)                   -                  S(5)                  S(10)                   -                   -        

                   -                   -                   -                   -                   -                   -                  R(<B>1)                  R(<B>1)        

                   -                   -                   -                   -                   -                   -                  S(8)                  R(<S>3)        

                   -                   -                   -                   -                   -                   -                  R(<B>2)                  R(<B>2)        

                   -                   -                   -                   -                   -                  S(11)                   -                   -        

                   -                   -                   -                  R(<A>2)                   -                  R(<A>2)                  R(<A>2)                   -        

                   -                   -                   -                  R(<A>3)                   -                  R(<A>3)                  R(<A>3)                   -        

