                          <Y0>                 <S>                 <B>                   b                   a                   $        

                  OK                  S(1)                   -                  S(2)                   -                   -        

                   -                   -                   -                   -                   -                  R(<Y0>2)        

                   -                  S(3)                  S(4)                  S(2)                  S(5)                  R(<S>1)        

                   -                   -                   -                   -                   -                  R(<S>2)        

                   -                  S(6)                   -                  S(2)                   -                  R(<S>2)        

                   -                  R(<B>1)                  S(7)                  R(<B>1)                  S(5)                  R(<B>1)        

                   -                   -                   -                   -                   -                  R(<S>3)        

                   -                  R(<B>2)                   -                  R(<B>2)                   -                  R(<B>2)        

