                          <Y0>                 <S>                 <A>                 <B>                 <C>                   c                   a                   b                   $        

                  OK                  S(1)                  S(2)                  S(3)                   -                   -                  S(4)                  S(5)                   -        

                   -                   -                   -                   -                   -                   -                   -                   -                  R(<Y0>2)        

                   -                   -                   -                  S(6)                   -                   -                  S(7)                  S(5)                   -        

                   -                   -                   -                   -                  S(8)                  S(9)                   -                  S(10)                  R(<S>1)        

                   -                   -                   -                  R(<A>1)                   -                   -                  R(<A>1)                  R(<A>1)                   -        

                   -                   -                   -                   -                  R(<B>1)                  R(<B>1)                   -                  R(<B>1)                  R(<B>1)        

                   -                   -                   -                   -                  S(11)                  S(9)                   -                  S(10)                  R(<S>2)        

                   -                   -                   -                  R(<A>2)                   -                   -                  R(<A>2)                  R(<A>2)                   -        

                   -                   -                   -                   -                   -                  S(12)                   -                   -                  R(<S>2)        

                   -                   -                   -                   -                   -                  R(<C>1)                   -                   -                  R(<C>1)        

                   -                   -                   -                   -                  R(<B>2)                  R(<B>2)                   -                  R(<B>2)                  R(<B>2)        

                   -                   -                   -                   -                   -                  S(12)                   -                   -                  R(<S>3)        

                   -                   -                   -                   -                   -                  R(<C>2)                   -                   -                  R(<C>2)        

