                          <Y0>              <Unit>              <Decl>          <EnumDecl>         <EnumItems>          <EnumItem>                name                   =                   ,                   {                   }                func               const                 var              struct                enum                   ;                   $        

                  OK                  S(1)                  S(2)                   -                   -                   -                   -                   -                   -                   -                   -                  S(3)                  S(4)                  S(5)                  S(6)                  S(7)                   -                   -        

                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                  R(<Y0>2)        

                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                  S(8)                   -        

                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -        

                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -        

                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -        

                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -        

                   -                   -                   -                  S(9)                   -                   -                  S(10)                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -        

                   -                  S(11)                  S(2)                   -                   -                   -                   -                   -                   -                   -                   -                  S(3)                  S(4)                  S(5)                  S(6)                  S(7)                   -                  R(<Unit>2)        

                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                  R(<Decl>2)                   -        

                   -                   -                   -                   -                   -                   -                   -                   -                   -                  S(12)                   -                   -                   -                   -                   -                   -                   -                   -        

                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                  R(<Unit>3)        

                   -                   -                   -                   -                  S(13)                  S(14)                  S(15)                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -        

                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                  S(16)                   -                   -                   -                   -                   -                   -                   -        

                   -                   -                   -                   -                   -                   -                   -                   -                  S(17)                   -                  R(<EnumItems>1)                   -                   -                   -                   -                   -                   -                   -        

                   -                   -                   -                   -                   -                   -                   -                  S(18)                  R(<EnumItem>1)                   -                  R(<EnumItem>1)                   -                   -                   -                   -                   -                   -                   -        

                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                  R(<EnumDecl>4)                   -        

                   -                   -                   -                   -                  S(19)                  S(14)                  S(15)                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -        

                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -        

                   -                   -                   -                   -                   -                   -                   -                   -                   -                   -                  R(<EnumItems>3)                   -                   -                   -                   -                   -                   -                   -        

