                          <Y0>                 <S>                   c                   a                   b                   $        

                  OK                  S(1)                  S(2)                  S(3)                   -                   -        

                   -                   -                  S(4)                   -                   -                  R(<Y0>2)        

                   -                   -                  R(<S>1)                   -                  R(<S>1)                  R(<S>1)        

                   -                  S(5)                  S(2)                  S(3)                  S(6)                   -        

                   -                   -                  R(<S>2)                   -                  R(<S>2)                  R(<S>2)        

                   -                   -                  S(4)                   -                  S(7)                   -        

                   -                   -                  R(<S>2)                   -                  R(<S>2)                  R(<S>2)        

                   -                   -                  R(<S>3)                   -                  R(<S>3)                  R(<S>3)        

